species,lat,lon,country,eventDate,basisOfRecord,presence
Apis mellifera,-1.223488,36.897896,Kenya,2026-01-12T15:49,HUMAN_OBSERVATION,1
Apis mellifera,-1.223413,36.897344,Kenya,2026-01-19T17:43,HUMAN_OBSERVATION,1
Apis mellifera,-1.222881,36.897628,Kenya,2026-01-14T14:40,HUMAN_OBSERVATION,1
Apis mellifera,-0.524644,36.664209,Kenya,2026-01-06T14:24,HUMAN_OBSERVATION,1
Apis mellifera,-1.115084,36.67763,Kenya,2026-01-26T11:43:47,HUMAN_OBSERVATION,1
Apis mellifera,-1.267186,36.821036,Kenya,2025-01-06T07:15,HUMAN_OBSERVATION,1
Apis mellifera,-4.373255,39.556372,Kenya,2025-01-18T12:08:59,HUMAN_OBSERVATION,1
Apis mellifera,-1.18162,36.951995,Kenya,2025-01-21T13:25:13,HUMAN_OBSERVATION,1
Apis mellifera,-1.529887,35.318703,Kenya,2025-01-27T13:55:43,HUMAN_OBSERVATION,1
Apis mellifera,-1.352293,36.712182,Kenya,2025-01-30T10:27,HUMAN_OBSERVATION,1
Apis mellifera,-4.035005,39.71773,Kenya,2025-01-09T16:30,HUMAN_OBSERVATION,1
Apis mellifera,-0.4854,37.1543,Kenya,2025-01-31,PRESERVED_SPECIMEN,1
Apis mellifera,-1.181622,36.952019,Kenya,2025-02-25T07:48:16,HUMAN_OBSERVATION,1
Apis mellifera,-1.2455,36.795244,Kenya,2025-02-23T15:58:15,HUMAN_OBSERVATION,1
Apis mellifera,-1.358354,36.953314,Kenya,2025-02-24T08:58,HUMAN_OBSERVATION,1
Apis mellifera,-1.267011,36.821087,Kenya,2025-03-17T08:27,HUMAN_OBSERVATION,1
Apis mellifera,-1.224,36.896705,Kenya,2025-04-14T14:16,HUMAN_OBSERVATION,1
Apis mellifera,-0.855073,37.182287,Kenya,2025-04-15T13:31,HUMAN_OBSERVATION,1
Apis mellifera,-1.247041,36.804972,Kenya,2025-04-20T10:05,HUMAN_OBSERVATION,1
Apis mellifera,-1.245061,36.799764,Kenya,2025-04-20T10:18,HUMAN_OBSERVATION,1
Apis mellifera,-1.375643,36.746138,Kenya,2025-04-25T11:15:01,HUMAN_OBSERVATION,1
Apis mellifera,-0.697555,37.336982,Kenya,2025-04-02T12:06,HUMAN_OBSERVATION,1
Apis mellifera,-1.105151,36.630567,Kenya,2025-04-13T15:48,HUMAN_OBSERVATION,1
Apis mellifera,-1.376423,36.748309,Kenya,2025-04-26T10:41,HUMAN_OBSERVATION,1
Apis mellifera,-1.402934,35.125592,Kenya,2025-04-17T09:11,HUMAN_OBSERVATION,1
